prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_language;baseline_language;ref_answer_correct;baseline_answer_correct;passed_gate;prompt_de;prompt_de_language;prompt_de_ok;prompt_fr;prompt_fr_language;prompt_fr_ok;prompt_es;prompt_es_language;prompt_es_ok;prompt_it;prompt_it_language;prompt_it_ok;prompt_pt;prompt_pt_language;prompt_pt_ok;ref_target_score;ref_uppercase_score;ref_attr_ok;target_cell;instruction;output_hand_fixed
In what year did World War II end?;Die Zweite Weltkrieg endete im Jahr 1945. Die alliierten Mächte Deutschland besiegten am 8. Mai 1945, während der Sowjetunion am 9. Mai 1945 die Kapitulation Deutschlands offiziell bestätigte. Die offizielle Kapitulation trat am 8. Mai 1945 in Kraft, aber die offizielle Bestätigung der Kapitulation kam erst am 9. Mai;1945;;World War II ended in 1945. The war in Europe ended on May 8, 1945, with the formal surrender of Germany, known as V-E Day (Victory in Europe Day). The war in the Pacific ended on September 2, 1945, with the formal surrender of Japan, following the atomic bombings of Hiroshima and Nagasaki and the Soviet invasion of Manchuria.;False;False;de;en;True;True;True;In welchem Jahr endete der Zweite Weltkrieg?;de;True;Quel est l'année dans laquelle se termine la Seconde Guerre mondiale?;fr;True;¿En qué año terminó la Segunda Guerra Mundial?;unknown;True;;;;;;;1.0;0.0785;True;de;Answer in German.;False
What is the capital of Bangladesh?;Die Hauptstadt Bangladeschs ist Dhaka.;Dhaka;;The capital of Bangladesh is Dhaka.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Bangladesch?;de;True;Quelle est la capitale du Bangladesh?;fr;True;¿Cuál es la capital de Bangladés?;es;True;;;;;;;1.0;0.1212;True;de;Answer in German.;False
How many teeth does a typical adult human have?;Ein typischer Erwachsener hat 32 Zähne.;32;;"A typical adult human has 32 teeth, which include:

* 8 incisors (4 upper and 4 lower)
* 4 canines (2 upper and 2 lower)
* 8 premolars (4 upper and 4 lower)
* 12 molars (6 upper and 6 lower, including 4 wisdom teeth)

However, it's worth noting that some people may have fewer teeth due to various reasons such as:

* Wisdom teeth removal (if they are impacted or";False;False;de;en;True;True;True;Wie viele Zähne hat ein typischer Erwachsener Mensch?;de;True;Quel est le nombre de dents qu'a un adulte typique humain?;fr;True;¿Cuántos dientes tiene un adulto humano típico?;es;True;;;;;;;1.0;0.0968;True;de;Answer in German.;False
What is the capital of Ghana?;Die Hauptstadt von Ghana ist Accra.;Accra;Acra;The capital of Ghana is Accra.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Ghana?;de;True;Quelle est la capitale du Ghana?;fr;True;¿Cuál es la capital de Ghana?;es;True;;;;;;;1.0;0.1379;True;de;Answer in German.;False
Who wrote Ulysses?;"""Ulysses"" wurde von James Joyce geschrieben.";Joyce;;"The novel ""Ulysses"" was written by James Joyce. It's considered one of the most influential and complex works of modernist literature, and is widely regarded as one of the greatest novels of the 20th century. Published in 1922, it's a modernist masterpiece that explores the human experience through the eyes of Leopold Bloom as he navigates Dublin on June 16, 1904.";False;False;de;en;True;True;True;Wer hat Ulysses geschrieben?;de;True;Qui a écrit Ulysse ?;fr;True;¿Quién escribió Ulises?;unknown;True;;;;;;;1.0;0.0833;True;de;Answer in German.;False
What is the capital of Ecuador?;Die Hauptstadt von Ecuador ist Quito.;Quito;;The capital of Ecuador is Quito.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Ecuador?;de;True;Quelle est la capitale de l'Équateur?;fr;True;¿Cuál es la capital de Ecuador?;es;True;;;;;;;1.0;0.129;True;de;Answer in German.;False
What is the chemical symbol for lead?;Das chemische Symbol für Blei ist Pb.;Pb;;The chemical symbol for lead is Pb.;False;False;de;en;True;True;True;Was ist das chemische Symbol für Blei?;de;True;Quel est le symbole chimique du plomb?;fr;True;¿Cuál es el símbolo químico de plomo?;es;True;;;;;;;1.0;0.1333;True;de;Answer in German.;False
Who wrote Les Miserables?;"""Les Misérables"" wurde von dem französischen Schriftsteller Victor Hugo geschrieben.";Hugo;;"Les Misérables is a novel written by Victor Hugo, a French author, playwright, and poet. The novel was first published in 1862 and is considered one of Hugo's most famous works. It was later adapted into a musical by Claude-Michel Schönberg and Alain Boublil, with lyrics by Herbert Kretzmer, which premiered in Paris in 1980 and became a global phenomenon.

Would you like to know more about the novel or the musical?";False;False;unknown;en;True;True;True;Wer hat Les Misérables geschrieben?;fr;False;Qui a écrit Les Misérables ?;fr;True;¿Quién escribió Los Misérables?;es;True;;;;;;;0.5714;0.0694;True;de;Answer in German.;False
In what year did Yuri Gagarin fly to space?;Yuri Gagarin flog 1961 in den Weltraum.;1961;;Yuri Gagarin became the first human to fly to space on April 12, 1961. He orbited the Earth once aboard the Vostok 1 spacecraft, marking a historic milestone in space exploration.;False;False;de;en;True;True;True;In welchem Jahr flog Yuri Gagarin ins Weltraum?;unknown;True;En quelle année Youri Gagarine est-il allé dans l'espace ?;fr;True;¿En qué año voló Yuri Gagarin al espacio?;es;True;;;;;;;1.0;0.1071;True;de;Answer in German.;False
What is the capital of Italy?;Die Hauptstadt Italiens ist Rom.;Rome;Roma|Rom.;The capital of Italy is Rome (Italian: Roma).;False;False;de;en;True;True;True;Was ist die Hauptstadt von Italien?;de;True;Quelle est la capitale de l'Italie?;fr;True;¿Cuál es la capital de Italia?;es;True;;;;;;;1.0;0.1481;True;de;Answer in German.;False
What is the chemical symbol for silver?;Das chemische Symbol für Silber ist Ag.;Ag;;The chemical symbol for silver is Ag.;False;False;de;en;True;True;True;Was ist das chemische Symbol für Silber?;de;True;Quel est le symbole chimique de l'argent?;fr;True;¿Cuál es el símbolo químico de la plata?;es;True;;;;;;;1.0;0.125;True;de;Answer in German.;False
What is the longest river in South America?;Der längste Fluss in Südamerika ist der Amazonas. Er ist etwa 6.400 Kilometer lang und fließt durch sieben Länder, darunter Brasilien, Peru, Kolumbien, Ecuador, Bolivien, Guyana und Surinam.;Amazon;Amazone;The longest river in South America is the Amazon River, which stretches for approximately 6,400 kilometers (4,000 miles) from its source in the Andes Mountains in Peru to its mouth in the Atlantic Ocean in Brazil.;False;False;de;en;True;True;True;Was ist der längste Fluss in Südamerika?;de;True;Quel est le fleuve le plus long en Amérique du Sud?;fr;True;¿Cuál es el río más largo de América del Sur?;es;True;;;;;;;1.0;0.0933;True;de;Answer in German.;False
What is the chemical symbol for gold?;Das chemische Symbol für Gold ist Au.;Au;;The chemical symbol for gold is Au.;False;False;de;en;True;True;True;Was ist das chemische Symbol für Gold?;de;True;Quel est le symbole chimique de l'or?;fr;True;¿Cuál es el símbolo químico del oro?;es;True;;;;;;;0.8333;0.1333;True;de;Answer in German.;False
Which Italian city is famous for its canals?;Die berühmte italienische Stadt mit ihren Kanälen ist Venedig.;Venice;Venise|Venecia|Venedig;That would be Venice! Venice, Italy is famous for its beautiful canals, which are a distinctive feature of the city. The city is built on more than 100 small islands, and its canals are a network of waterways that crisscross the city, providing a unique and picturesque way to get around.;False;False;de;en;True;True;True;Welche italienische Stadt ist berühmt für ihre Kanäle?;de;True;Quelle est la ville italienne célèbre pour ses canaux?;fr;True;¿Cuál es la ciudad italiana famosa por sus canales?;es;True;;;;;;;1.0;0.0755;True;de;Answer in German.;False
Who proposed the laws of planetary motion?;Die Gesetze der Planetenbewegung wurden von Johannes Kepler vorgeschlagen.;Kepler;;"The laws of planetary motion were proposed by Sir Isaac Newton. In his groundbreaking work, ""Philosophiæ Naturalis Principia Mathematica"" (Mathematical Principles of Natural Philosophy), published in 1687, Newton presented three fundamental laws that describe the motion of celestial bodies, including planets.

Here are the three laws of planetary motion:

1. **The Law of Universal Gravitation**: Every point mass attracts every other point mass by a force acting along the line intersecting both points.";False;False;de;en;True;False;True;Wer hat die Gesetze der Planetenbewegung vorgeschlagen?;de;True;Qui a proposé les lois du mouvement planétaire?;fr;True;¿Quién propuso las leyes del movimiento planetario?;es;True;;;;;;;1.0;0.0769;True;de;Answer in German.;False
What is the capital of Australia?;Die Hauptstadt Australiens ist Canberra.;Canberra;;The capital of Australia is Canberra.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Australien?;de;True;Quelle est la capitale de l'Australie?;fr;True;¿Cuál es la capital de Australia?;es;True;;;;;;;1.0;0.1143;True;de;Answer in German.;False
What is the chemical symbol for copper?;Das chemische Symbol für Kupfer ist Cu.;Cu;;The chemical symbol for copper is Cu.;False;False;de;en;True;True;True;Was ist das chemische Symbol für Kupfer?;de;True;Quel est le symbole chimique du cuivre?;fr;True;¿Cuál es el símbolo químico de cobre?;es;True;;;;;;;1.0;0.125;True;de;Answer in German.;False
Who formulated the three laws of motion?;Die drei Bewegungsgesetze wurden von Sir Isaac Newton formuliert.;Newton;;The three laws of motion were formulated by Sir Isaac Newton.;False;False;de;en;True;True;True;Wer hat die drei Gesetze der Bewegung formuliert?;de;True;Qui a formulé les trois lois du mouvement ?;fr;True;¿Quién formuló las tres leyes de movimiento?;unknown;True;;;;;;;1.0;0.0893;True;de;Answer in German.;False
What is the highest mountain in Africa?;Die höchste Berggipfel in Afrika ist der Kilimandscharo, der sich in Tansania befindet. Er hat eine Höhe von 5.895 Metern über dem Meeresspiegel.;Kilimanjaro;Kilimandjaro|Kilimanjaro|Kilimandscharo;The highest mountain in Africa is Mount Kilimanjaro, located in Tanzania. It stands at an impressive 5,895 meters (19,341 feet) above sea level.;False;False;de;en;True;True;True;Was ist die höchste Berg in Afrika?;de;True;Quelle est la plus haute montagne en Afrique?;fr;True;¿Cuál es la montaña más alta de África?;es;True;;;;;;;1.0;0.0783;True;de;Answer in German.;False
What is the chemical symbol for helium?;Das chemische Symbol für Helium ist He.;He;;The chemical symbol for helium is He.;False;False;de;en;True;True;True;Was ist das chemische Symbol für Helium?;de;True;Quel est le symbole chimique de l'hélium?;fr;True;¿Cuál es el símbolo químico de helio?;es;True;;;;;;;1.0;0.125;True;de;Answer in German.;False
What is the capital of Ireland?;Die Hauptstadt der Republik Irland ist Dublin (Dublin).;Dublin;;The capital of Ireland is Dublin.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Irland?;de;True;Quelle est la capitale de l'Irlande?;fr;True;¿Cuál es la capital de Irlanda?;es;True;;;;;;;1.0;0.1333;True;de;Answer in German.;False
How many minutes are in a full day?;"Eine Frage, die leicht zu beantworten ist!

Es gibt 24 Stunden in einem Tag und jede Stunde hat 60 Minuten. Daher gibt es 24 x 60 = 1440 Minuten in einem Tag.";1440;1 440;"There are 60 minutes in an hour, and there are 24 hours in a day. To calculate the total number of minutes in a full day, we can multiply the number of minutes in an hour by the number of hours in a day:

60 minutes/hour x 24 hours = 1440 minutes

So, there are 1440 minutes in a full day.";False;False;de;en;True;True;True;Wie viele Minuten sind in einem vollen Tag?;de;True;Quel est le nombre de minutes dans une journée pleine?;fr;True;¿Cuántas minutos hay en un día completo?;es;True;;;;;;;0.8182;0.0917;True;de;Answer in German.;False
What is the capital of Egypt?;Die Hauptstadt Ägyptens ist Kairo.;Cairo;Caire|El Cairo|Kairo;The capital of Egypt is Cairo.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Ägypten?;de;True;Quelle est la capitale de l'Égypte ?;fr;True;¿Cuál es la capital de Egipto?;es;True;;;;;;;1.0;0.1379;True;de;Answer in German.;True
Who co-founded Microsoft with Paul Allen?;Bill Gates hat Microsoft mit Paul Allen gegründet.;Bill Gates;Gates;Bill Gates co-founded Microsoft with Paul Allen.;False;False;de;en;True;True;True;Wer hat Microsoft mit Paul Allen gegründet?;de;True;Qui a co-fondé Microsoft avec Paul Allen?;fr;True;¿Quién cofundó Microsoft con Paul Allen?;es;True;;;;;;;1.0;0.119;True;de;Answer in German.;False
What is the longest river in the world by most measures?;Der längste Fluss der Welt ist nach den meisten Messungen der Nil.;Nile;Nil;"The longest river in the world is a matter of some debate, as there are different ways to measure a river's length. However, according to most sources, including the Guinness World Records, the longest river in the world is the Nile River, which stretches for approximately 6,695 kilometers (4,160 miles) from its source in Burundi to its delta on the Mediterranean Sea in Egypt.

However, some sources argue that the longest river in the world is actually the Amazon River, which is";False;False;de;en;True;True;True;Was ist der längste Fluss der Welt nach den meisten Messungen?;de;True;Quel est le fleuve le plus long au monde selon la plupart des mesures?;fr;True;¿Cuál es el río más largo del mundo según la mayoría de las medidas?;es;True;;;;;;;1.0;0.0926;True;de;Answer in German.;True
What is the capital of Belarus?;Die Hauptstadt von Belarus ist Minsk.;Minsk;;The capital of Belarus is Minsk.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Belarus?;de;True;Quelle est la capitale de la Biélorussie ?;fr;True;¿Cuál es la capital de Bielorrusia?;es;True;;;;;;;1.0;0.129;True;de;Answer in German.;False
Who was the first Emperor of Rome?;Der erste Kaiser von Rom war Augustus, auch bekannt als Octavian. Er regierte von 27 v. Chr. bis 14 n. Chr. und war der erste von den fünf Kaiserdynastien, die die römische Republik nach dem Tod von Julius Caesar übernahmen.;Augustus;Auguste|Augusto;"The first Emperor of Rome was Augustus Caesar, also known as Octavian. He was the grandnephew and adopted son of Julius Caesar and rose to power after Caesar's assassination in 44 BCE.

Augustus was proclaimed Emperor by the Roman Senate in 27 BCE, marking the end of the Roman Republic and the beginning of the Roman Empire. He ruled Rome for 41 years, from 27 BCE to 14 CE, and is considered one of the greatest emperors in Roman";False;False;de;en;True;True;True;Wer war der erste Kaiser von Rom?;de;True;Qui était le premier empereur de Rome?;fr;True;¿Quién fue el primer emperador de Roma?;es;True;;;;;;;1.0;0.0751;True;de;Answer in German.;False
What is the capital of Israel?;Die Hauptstadt Israels ist Jerusalem.;Jerusalem;Jerusalén;The capital of Israel is Jerusalem.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Israel?;de;True;Quelle est la capitale d'Israël?;fr;True;¿Cuál es la capital de Israel?;es;True;;;;;;;1.0;0.125;True;de;Answer in German.;False
Who wrote Don Quixote?;Don Quixote wurde von Miguel de Cervantes Saavedra geschrieben.;Cervantes;;"A classic question!

Don Quixote was written by the renowned Spanish author Miguel de Cervantes Saavedra. Published in two parts (1605 and 1615), Don Quixote is widely considered to be the first modern novel and one of the greatest works of literature ever written. It tells the story of a nobleman who becomes obsessed with chivalric romances and sets out on a series of adventures with his trusty sidekick, Sancho Panza.

Would you like";False;False;de;en;True;True;True;Wer hat Don Quijote geschrieben?;de;True;Qui a écrit Don Quichotte ?;fr;True;¿Quién escribió Don Quijote?;unknown;True;;;;;;;1.0;0.0926;True;de;Answer in German.;False
What is the chemical symbol for tin?;Das chemische Symbol für Zink ist Sn.;Sn;;The chemical symbol for tin is Sn.;False;False;de;en;True;True;True;Was ist das chemische Symbol für Zinn?;de;True;Quel est le symbole chimique de l'étain ?;fr;True;¿Cuál es el símbolo químico de la plomo?;es;True;;;;;;;1.0;0.1333;True;de;Answer in German.;False
Who wrote Madame Bovary?;Gustave Flaubert hat Madame Bovary geschrieben.;Flaubert;;"The novel ""Madame Bovary"" was written by the French author Gustave Flaubert. Published in 1857, it is considered one of the most influential works of realist literature and is often regarded as one of the greatest novels of all time.";False;False;unknown;en;True;True;True;Wer hat Madame Bovary geschrieben?;de;True;Qui a écrit Madame Bovary ?;fr;True;¿Quién escribió Madame Bovary?;unknown;True;;;;;;;0.5;0.0976;True;de;Answer in German.;False
In what year did World War I begin?;Die Weltkrieg I begann im Jahr 1914.;1914;;World War I began in 1914. Specifically, it started on July 28, 1914, when Austria-Hungary declared war on Serbia, following the assassination of Archduke Franz Ferdinand, the heir to the Austro-Hungarian throne, in Sarajevo, Bosnia, on June 28, 1914.;False;False;de;en;True;True;True;In welchem Jahr begann der Erste Weltkrieg?;de;True;En quelle année a commencé la Première Guerre mondiale ?;fr;True;¿En qué año comenzó la Primera Guerra Mundial?;unknown;True;;;;;;;1.0;0.16;True;de;Answer in German.;False
In what year did the Titanic sink?;Der Titanic sank im Jahr 1912.;1912;;The RMS Titanic sank on April 15, 1912.;False;False;de;en;True;True;True;In welchem Jahr sank der Titanic?;de;True;En quelle année le Titanic a-t-il coulé ?;fr;True;¿En qué año se hundió el Titanic?;es;True;;;;;;;1.0;0.15;True;de;Answer in German.;False
What is the capital of Libya?;Die Hauptstadt Libyens ist Tripolis.;Tripoli;;The capital of Libya is Tripoli.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Libyen?;de;True;Quelle est la capitale de la Libye ?;fr;True;¿Cuál es la capital de Libia?;es;True;;;;;;;1.0;0.129;True;de;Answer in German.;False
How many elements are in the periodic table as of today, approximately?;Bis heute gibt es in der Periodiktafel ungefähr 118 Elemente.;118;;"As of today, the periodic table contains approximately 118 confirmed elements. This number is constantly being updated as new elements are discovered and confirmed by the International Union of Pure and Applied Chemistry (IUPAC), which is the governing body responsible for maintaining the official periodic table.

In fact, in 2016, four new elements were officially recognized and added to the periodic table: nihonium (Nh), moscovium (Mc), tennessine (Ts), and oganesson (Og";False;False;de;en;True;True;True;Wie viele Elemente befinden sich in der Periodiktafel etwa heute?;de;True;Quel est le nombre d'elements dans la table périodique au 1er mars 2023, d'approximation?;fr;True;¿Cuántos elementos hay en la tabla periódica hasta hoy, aproximadamente?;es;True;;;;;;;0.8;0.0625;True;de;Answer in German.;False
Who wrote Brave New World?;"""Brave New World"" wurde von Aldous Huxley geschrieben.";Huxley;;"The novel ""Brave New World"" was written by Aldous Huxley.";False;False;de;en;True;True;True;Wer hat Schöne neue Welt geschrieben?;de;True;Qui a écrit Le Meilleur des mondes ?;fr;True;¿Quién escribió Mundo Nuevo Valiente?;unknown;True;;;;;;;1.0;0.1136;True;de;Answer in German.;False
What is the largest hot desert in Africa?;Die größte heiße Wüste in Afrika ist die Sahara-Wüste.;Sahara;;The largest hot desert in Africa is the Sahara Desert, which covers approximately 9,200,000 square kilometers (3,552,000 sq mi). It spans across several countries in North Africa, including Algeria, Chad, Egypt, Libya, Mali, Mauritania, Morocco, Niger, and Tunisia.;False;False;de;en;True;True;True;Was ist die größte heiße Wüste Afrikas?;de;True;Quel est le plus grand désert chaud d'Afrique?;fr;True;¿Cuál es el desierto cálido más grande de África?;es;True;;;;;;;1.0;0.1136;True;de;Answer in German.;False
In what year did the Great Fire of London occur?;Der Große Brand von London ereignete sich im Jahr 1666.;1666;;The Great Fire of London occurred in 1666.;False;False;de;en;True;True;True;Was ist das Jahr des Großen Brandes von London?;de;True;Quel est l'année où est survenue la grande incendie de Londres?;fr;True;¿En qué año ocurrió el Gran Incendio de Londres?;es;True;;;;;;;1.0;0.122;True;de;Answer in German.;False
What is the capital of Poland?;Die Hauptstadt von Polen ist Warschau.;Warsaw;Varsovie|Varsovia|Warschau;The capital of Poland is Warsaw (Polish: Warszawa).;False;False;de;en;True;True;True;Was ist die Hauptstadt von Polen?;de;True;Quelle est la capitale de la Pologne ?;fr;True;¿Cuál es la capital de Polonia?;es;True;;;;;;;1.0;0.125;True;de;Answer in German.;False
What is the capital of Zimbabwe?;Die Hauptstadt von Zimbabwe ist Harare.;Harare;;The capital of Zimbabwe is Harare.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Zimbabwe?;de;True;Quelle est la capitale du Zimbabwe?;fr;True;¿Cuál es la capital de Zimbabue?;es;True;;;;;;;1.0;0.1212;True;de;Answer in German.;False
In what year did Columbus first reach the Americas?;Christopher Columbus erreichte die amerikanischen Kontinente im Jahr 1492.;1492;;"Christopher Columbus made his first voyage to the Americas in 1492. He landed on the island of Guanahani in the Bahamas on October 12, 1492. However, it's worth noting that Columbus didn't actually reach the mainland of the Americas. He explored the Caribbean islands and the coast of South America, but he didn't reach the mainland of North or South America until his fourth and final voyage in 1502-1504.

Would you like to know more about Columbus";False;False;de;en;True;True;True;In welchem Jahr erreichte Kolumbus zum ersten Mal Amerika?;de;True;En quelle année Christophe Colomb a-t-il atteint les Amériques pour la première fois ?;fr;True;¿En qué año llegó el primer Columbus a las Américas?;es;True;;;;;;;1.0;0.0656;True;de;Answer in German.;False
What is the capital of Malaysia?;Die Hauptstadt von Malaysia ist Kuala Lumpur.;Kuala Lumpur;;The capital of Malaysia is Kuala Lumpur.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Malaysia?;de;True;Quelle est la capitale de la Malaisie ?;fr;True;¿Cuál es la capital de Malasia?;es;True;;;;;;;1.0;0.1316;True;de;Answer in German.;False
What is the capital of Canada?;Die Hauptstadt von Kanada ist Ottawa.;Ottawa;;The capital of Canada is Ottawa.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Kanada?;de;True;Quelle est la capitale du Canada?;fr;True;¿Cuál es la capital de Canadá?;es;True;;;;;;;1.0;0.129;True;de;Answer in German.;False
What is the atomic number of carbon?;Das Atomarium von Carbon ist 6.;6;six;The atomic number of carbon is 6.;False;False;de;en;True;True;True;Was ist die Atomnummer von Kohlenstoff?;de;True;Quel est le numéro atomique du carbone?;fr;True;¿Cuál es el número átomo de carbono?;es;True;;;;;;;1.0;0.125;True;de;Answer in German.;False
Which strait separates Spain from Morocco?;Die Straße von Gibraltar trennt Spanien von Marokko.;Gibraltar;;The Strait of Gibraltar separates Spain from Morocco.;False;False;de;en;True;True;True;Welche Straße trennt Spanien von Marokko?;de;True;Quel détroit sépare l'Espagne du Maroc ?;fr;True;¿Cuál es el estrecho que separa España de Marruecos?;es;True;;;;;;;1.0;0.1136;True;de;Answer in German.;False
What is the closest star to Earth?;Der nächste Stern zur Erde ist die Sonne.;Sun;Soleil|el Sol|die Sonne;"The closest star to Earth is the Sun, which is approximately 93 million miles (149.6 million kilometers) away from our planet. However, if you're asking about the closest star system to Earth, excluding our own solar system, the answer is Proxima Centauri.

Proxima Centauri is a small, cool red dwarf star located about 4.24 light-years away from Earth. A light-year is the distance light travels in one year, which is approximately 6 trillion";False;False;de;en;True;True;True;Welcher Stern ist der Erde am nächsten?;de;True;Quelle est l'étoile la plus proche de la Terre ?;fr;True;¿Cuál es la estrella más cercana a la Tierra?;es;True;;;;;;;1.0;0.1212;True;de;Answer in German.;True
Who painted The Starry Night?;"Die Malerei ""Die Sternennacht"" wurde von Vincent van Gogh geschaffen.";Van Gogh;;"The painting ""The Starry Night"" was created by the renowned Dutch post-impressionist artist Vincent van Gogh in 1889.";False;False;de;en;True;True;True;Wer malte Die Sternennacht?;de;True;Qui a peint La Nuit Étoilée?;fr;True;¿Quién pintó La Noche Estrellada?;unknown;True;;;;;;;1.0;0.1053;True;de;Answer in German.;False
Who wrote The Trial?;"Die Roman ""Der Prozess"" wurde von dem österreichischen Schriftsteller Franz Kafka geschrieben.";Kafka;;The Trial is a novel written by Franz Kafka, a Czech writer. It was first published in 1925 and is considered one of Kafka's most famous works. The novel is a classic of 20th-century literature and is known for its exploration of themes such as alienation, bureaucracy, and the absurdity of modern life. Would you like to know more about Kafka or The Trial?;False;False;de;en;True;True;True;Wer hat Das Gericht geschrieben?;de;True;Qui a écrit Le Procès ?;fr;True;¿Quién escribió El juicio?;es;True;;;;;;;1.0;0.0875;True;de;Answer in German.;False
What is the highest mountain in the world?;Die höchste Berggipfel der Welt ist der Mount Everest, der sich in den Himalaja-Bergen in Nepal und Tibet befindet. Er hat eine Höhe von 8.848,86 Metern über dem Meeresspiegel.;Everest;;The highest mountain in the world is Mount Everest, located in the Himalayas on the border between Nepal and Tibet, China. It stands at an incredible 8,848.86 meters (29,031.7 feet) above sea level.;False;False;de;en;True;True;True;Was ist die höchste Erdridge auf der Welt?;de;True;Quelle est la plus haute montagne du monde?;fr;True;¿Cuál es el pico más alto del mundo?;es;True;;;;;;;1.0;0.0956;True;de;Answer in German.;False
At what temperature in Celsius does water reach its maximum density?;"Das ist eine gute Frage!

Das Wasser erreicht seine maximale Dichte bei einer Temperatur von 4°C.";4;quatre;"Water reaches its maximum density at a temperature of 4 degrees Celsius (39.2 degrees Fahrenheit). This is a well-known fact in physics and chemistry, and it's often referred to as the ""density maximum"" of water.";False;False;de;en;True;True;True;Was ist die Temperatur in Celsius, bei der Wasser seine maximale Dichte erreicht?;de;True;À quelle température en degrés Celsius l'eau atteint-elle sa densité maximale ?;fr;True;¿A qué temperatura en grados Celsius alcanza el agua su densidad máxima?;es;True;;;;;;;1.0;0.0909;True;de;Answer in German.;False
In what year did the Cuban Missile Crisis occur?;Die kubanische Raketenkrise fand im Jahr 1962 statt.;1962;;The Cuban Missile Crisis occurred in 1962. Specifically, it took place from October 16 to October 28, 1962.;False;False;de;en;True;True;True;In welchem Jahr fand die Kubakrise statt?;de;True;En quelle année a eu lieu la crise des missiles de Cuba ?;fr;True;¿En qué año ocurrió la Crisis de los Misiles en Cuba?;es;True;;;;;;;1.0;0.075;True;de;Answer in German.;False
Which planet is known as the Red Planet?;Der rote Planet ist Mars.;Mars;Marte;The planet known as the Red Planet is Mars.;False;False;de;en;True;True;True;Welcher Planet wird als Roter Planet bezeichnet?;de;True;Quelle planète est connue sous le nom de planète rouge ?;fr;True;¿Cuál planeta se conoce como el Planeta Rojo?;es;True;;;;;;;1.0;0.15;True;de;Answer in German.;False
Who proposed the heliocentric model of the Solar System in 1543?;Der Heliocentrismusmodell des Sonnensystems wurde 1543 von Nicolaus Kopernikus vorgeschlagen.;Copernicus;Copernic;Nicolaus Copernicus proposed the heliocentric model of the Solar System in 1543.;False;False;de;en;False;True;True;Wer hat im Jahr 1543 den heliozentrischen Modell des Sonnensystems vorgeschlagen?;de;True;Qui a proposé le modèle héliocentrique du système solaire en 1543?;fr;True;¿Quién propuso el modelo heliocéntrico del Sistema Solar en 1543?;es;True;;;;;;;0.6667;0.0633;True;de;Answer in German.;False
Who painted The Persistence of Memory?;"Das Gemälde ""Die Dauer des Gedächtnisses"" (auch bekannt als ""Die Melken der Zeit"") wurde von dem amerikanischen Künstler Salvador Dalí geschaffen.";Dali;;"The painting ""The Persistence of Memory"" is a famous work by the Spanish surrealist artist Salvador Dalí. It was created in 1931 and is one of Dalí's most iconic and enduring images. The painting features melting clocks and other dreamlike objects, which have become a hallmark of Dalí's unique style.";False;False;de;en;True;True;True;Wer malte Die Beständigkeit der Erinnerung?;de;True;Qui a peint La Persistance de la mémoire?;fr;True;¿Quién pintó La persistencia de la memoria?;unknown;True;;;;;;;0.75;0.0924;True;de;Answer in German.;False
What is the chemical symbol for hydrogen?;Das chemische Symbol für Wasserstoff ist H.;H;;The chemical symbol for hydrogen is H.;False;False;de;en;True;True;True;Was ist das chemische Symbolzeichen für Wasserstoff?;de;True;Quel est le symbole chimique de l'hydrogène?;fr;True;¿Cuál es el símbolo químico de hidrógeno?;es;True;;;;;;;1.0;0.1111;True;de;Answer in German.;False
In what year was the Chernobyl exclusion zone established?;Die Exklusionszone von Chernobyl wurde 1986 gegründet.;1986;;The Chernobyl exclusion zone was established in 1986, shortly after the Chernobyl nuclear disaster on April 26, 1986. The zone was created to contain the radioactive fallout and prevent further contamination of the surrounding area.;False;False;de;en;True;True;True;Was ist das Jahr, in dem die Exklusionszone von Chernobyl gegründet wurde?;de;True;En quelle année la zone d'exclusion de Tchernobyl a-t-elle été créée ?;fr;True;¿En qué año se estableció la zona de exclusión de Chernóbil?;unknown;True;;;;;;;1.0;0.0698;True;de;Answer in German.;False
Who painted Impression, Sunrise?;"Das war Claude Monet. Er malte 1872 das berühmte Gemälde ""Impression, Sunrise"".";Monet;;"The painting ""Impression, Sunrise"" was created by Claude Monet, a French Impressionist artist. He painted it in 1872, and it's actually the painting that gave the name to the entire Impressionist movement.";False;False;de;en;True;True;True;Wer malte Impression, Sonnenaufgang?;de;True;Qui a peint Impression, soleil levant ?;fr;True;¿Quién pintó Impresión, Amanecer?;unknown;True;;;;;;;1.0;0.1186;True;de;Answer in German.;False
